,Scientific Names,CommonName,Region,Country,Average_Weight,Status,HomeRange_ha,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky_areas,Habitat_Desert,Home_Range_log,AverageWeight_log,Locomotion_BOTH,Locomotion_T,DielActivity_D,DielActivity_N,TrophicGuild_Folivore,TrophicGuild_Frugivore,TrophicGuild_Gummivore,TrophicGuild_Insectivore,TrophicGuild_Omnivore
190,Atelidae Brachyteles,Northern Muriqui,South America,Brazil,9.0,4,309.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.733341276897746,2.1972245773362196,0,0,1,0,0,0,0,0,0
191,Galagidae Euoticus,Northern Needle clawed Galago,North West Africa,Nigeria,0.253,0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162907318741551,-1.374365790254617,0,0,0,1,0,0,1,0,0
192,Cercopithecidae Macaca,Northern Pig tailed Macaque,South East Asia,India,6.7,2,215.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3706380281276624,1.9021075263969205,1,0,1,0,0,1,0,0,0
193,Cercopithecidae Miopithecus,Northern Talapoin Monkey,West Africa,Gabon,1.25,0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.703782474656201,0.22314355131420976,1,0,1,0,0,1,0,0,0
194,Hylobatidae Nomascus,Northern White cheeked Crested Gibbon,South East Asia,Laos,6.5,4,87.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.471638793363569,1.8718021769015913,0,0,1,0,0,0,0,0,0
195,Hylobatidae Nomascus,Northern Yellow cheeked Crested Gibbon,South East Asia,Laos,7.0,5,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023005428146,1.9459101490553132,0,0,1,0,0,1,0,0,0
196,Pitheciidae Plecturocebus,Olalla s Titi,South America,Bolivia,0.8,3,10.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.302585092994046,-0.2231435513142097,0,0,1,0,0,0,0,0,0
197,Cercopithecidae Papio,Olive Baboon,Central Africa,Uganda,16.65,0,1968.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.584773077612199,2.8124102164264526,1,0,1,0,0,0,0,0,1
198,Cercopithecidae Procolobus,Olive Colobus,North West Africa,CÃ´te dÂIvoire,4.45,1,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4339872044851463,1.4929040961781488,0,0,1,0,1,0,0,0,0
199,Pitheciidae Plecturocebus,Ornate Titi,South America,Bolivia,1.17,2,15.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.768204123921957,0.1570037488096647,0,0,1,0,0,1,0,0,0
200,Cheirogaleidae Phaner,Pale Fork marked Lemur,Madagascar,Madagascar,0.34,3,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8718021769015913,-1.0788096613719298,0,0,0,1,0,0,1,0,0
201,Pitheciidae Plecturocebus,Pale Titi,South America,Bolivia,0.8,0,20.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.995732273553991,-0.2231435513142097,0,0,1,0,0,0,0,0,1
202,Cercopithecidae Presbytis,Pale thighed Langur,South East Asia,Malaysia,7.65,1,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1780538303479458,2.0347056478384444,0,0,1,0,0,0,0,0,0
203,Aotidae Aotus,Panamanian Night Monkey,South America,Peru,0.9,3,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,-0.10536051565782628,0,0,0,1,0,1,0,0,0
204,Cebidae Cebus,Panamanian White faced Capuchin,South America,Colombia,3.22,0,134.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.900820428089049,1.169381359556317,0,0,1,0,0,0,0,0,1
205,Atelidae Alouatta,Paraguayan Howler,South America,Brazil,5.38,0,1.95,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6678293725756554,1.682688374173693,0,0,1,0,0,0,0,0,0
206,Cercopithecidae Erythrocebus,Patas Monkey,East Africa,Kenya,9.45,0,2851.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.955425088912672,2.2460147415056513,0,1,1,0,0,0,0,0,1
